************************************************************************************************************************************************************************************************************
*    Row   *      nstb *      chan *       row *       col *        pp *     pprow *     ppcol *   qtcrate *    qtslot *    qtcard *    qtchan *   hvboard *    hvchip *    hvchan * hvaddress * cell_type *
*      881 *         3 *       104 *         8 *         7 *         1 *         7 *        15 *         3 *         4 *         0 *         2 *         2 *         3 *         2 *        F6 * small_rus *
*      882 *         3 *       105 *         8 *         8 *         1 *         7 *        16 *         3 *         4 *         0 *         3 *         2 *         3 *         2 *        FE * small_rus *
*      883 *         3 *       106 *         8 *         9 *         1 *         5 *         1 *         3 *         4 *         0 *         4 *         2 *         3 *         3 *        F6 * small_rus *
*      884 *         3 *       107 *         8 *        10 *         1 *         5 *         2 *         3 *         4 *         0 *         5 *         2 *         3 *         3 *        EE * small_rus *
*      885 *         3 *       108 *         8 *        11 *         1 *         5 *         3 *         3 *         4 *         0 *         6 *         2 *         3 *         3 *        E6 * small_rus *
*      886 *         3 *       114 *         9 *         5 *         1 *         9 *         7 *         3 *         4 *         1 *         0 *         2 *         3 *         2 *        E4 * small_rus *
*      887 *         3 *       115 *         9 *         6 *         1 *         4 *         1 *         3 *         4 *         1 *         1 *         2 *         3 *         2 *        EC * small_rus *
*      888 *         3 *       116 *         9 *         7 *         1 *         4 *         2 *         3 *         4 *         1 *         2 *         2 *         3 *         2 *        F4 * small_rus *
*      889 *         3 *       117 *         9 *         8 *         1 *         4 *         3 *         3 *         4 *         1 *         3 *         2 *         3 *         2 *        FC * small_rus *
*      890 *         3 *       118 *         9 *         9 *         1 *         3 *         1 *         3 *         4 *         1 *         4 *         2 *         3 *         3 *        F4 * small_rus *
*      891 *         3 *       119 *         9 *        10 *         1 *         3 *         2 *         3 *         4 *         1 *         5 *         2 *         3 *         3 *        EC * small_rus *
*      892 *         3 *       120 *         9 *        11 *         1 *         3 *         3 *         3 *         4 *         1 *         6 *         2 *         3 *         3 *        E4 * small_rus *
*      893 *         3 *       126 *        10 *         5 *         1 *         9 *         8 *         3 *         4 *         2 *         0 *         2 *         3 *         2 *        E2 * small_rus *
*      894 *         3 *       127 *        10 *         6 *         1 *         2 *         1 *         3 *         4 *         2 *         1 *         2 *         3 *         2 *        EA * small_rus *
*      895 *         3 *       128 *        10 *         7 *         1 *         2 *         2 *         3 *         4 *         2 *         2 *         2 *         3 *         2 *        E0 * small_rus *
*      896 *         3 *       129 *        10 *         8 *         1 *         2 *         3 *         3 *         4 *         2 *         3 *         2 *         3 *         2 *        FA * small_rus *
*      897 *         3 *       130 *        10 *         9 *         1 *         1 *         1 *         3 *         4 *         2 *         4 *         2 *         3 *         3 *        F2 * small_rus *
*      898 *         3 *       131 *        10 *        10 *         1 *         1 *         2 *         3 *         4 *         2 *         5 *         2 *         3 *         3 *        EA * small_rus *
*      899 *         3 *       132 *        10 *        11 *         1 *         1 *         3 *         3 *         4 *         2 *         6 *         2 *         3 *         3 *        E2 * small_rus *
*      900 *         3 *       138 *        11 *         5 *         1 *         9 *         9 *         3 *         4 *         3 *         0 *         2 *         3 *         2 *        F2 * small_rus *
*      901 *         3 *       139 *        11 *         6 *         1 *         6 *         4 *         3 *         4 *         3 *         1 *         2 *         3 *         2 *        E8 * small_rus *
*      902 *         3 *       140 *        11 *         7 *         1 *         5 *         4 *         3 *         4 *         3 *         2 *         2 *         3 *         2 *        F0 * small_rus *
*      903 *         3 *       141 *        11 *         8 *         1 *         4 *         4 *         3 *         4 *         3 *         3 *         2 *         3 *         2 *        F8 * small_rus *
*      904 *         3 *       142 *        11 *         9 *         1 *         3 *         4 *         3 *         4 *         3 *         4 *         2 *         3 *         3 *        F0 * small_rus *
*      905 *         3 *       143 *        11 *        10 *         1 *         2 *         4 *         3 *         4 *         3 *         5 *         2 *         3 *         3 *        E8 * small_rus *
*      906 *         3 *       144 *        11 *        11 *         1 *         1 *         4 *         3 *         4 *         3 *         6 *         2 *         3 *         3 *        E0 * small_rus *
